Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Text Area 2,Text Area 3,Custom Shape,GCT,Group,Optional,Shape ID,"type ""1""  to show  uom","type ""1""  to show kn-code","type ""1"" to activate kn colors"
111,KN Block: Non-GCT,Kuehne + Nagel,2,11:1,,,,,,,Get data from WAALOS,,,true,false,No Code,false,w3oTyXTbMWUH,,,
112,exclusive decision gateway,Kuehne + Nagel,2,9:1,,,,,,,,,,,,,,,,,
113,KN Block: Non-GCT,Kuehne + Nagel,2,9:1,,,,,,,"Calculate New SKU flag, QC flag ",,,true,false,No Code,false,MOBU0rdzAEG0,,,
114,data,Kuehne + Nagel,2,8:1,,,,,,,K1 (updated for OSD2 + New SKU / QC),,,,,,,,,,
115,KN Block: Non-GCT,Kuehne + Nagel,2,9:1,,,,,,,"Calculate New SKU flag, QC flag ",,,true,false,No Code,false,SXBU~UfiWTHj,,,
116,data,Kuehne + Nagel,2,10:1,,,,,,,A5 Inbound confirmation,,,,,,,,,,
117,data,Kuehne + Nagel,2,9:1,,,,,,,A2 Inbound pre-advice,,,,,,,,,,
118,exclusive decision gateway,Kuehne + Nagel,2,9:1,,,,,,,OSD2?,,,,,,,,,,
119,KN Block: Non-GCT,Kuehne + Nagel,2,9:1,,,,,,,Match carton with correct PO,,,true,false,No Code,false,vQBf5NAwywQa,,,
120,exclusive decision gateway,Kuehne + Nagel,2,9:1,,,,,,,OSD2?,,,,,,,,,,
121,KN Block: Non-GCT,Kuehne + Nagel,2,9:1,,,,,,,Match carton with correct PO,,,true,false,No Code,false,SUBf12ECpdEw,,,
122,Line,,2,,,31,32,None,Arrow,,,,,,,,,,,,
123,Line,,2,,,32,33,None,Arrow,,,,,,,,,,,,
124,Line,,2,,,37,35,None,Arrow,,Physical unloading finished,,,,,,,,,,
125,Line,,2,,,36,41,None,Arrow,,Loose cartons,,,,,,,,,,
126,Line,,2,,,36,37,None,Arrow,,Pallet,,,,,,,,,,
127,Line,,2,,,35,38,None,Arrow,,,,,,,,,,,,
128,Line,,2,,,38,39,None,Arrow,,,,,,,,,,,,
129,Line,,2,,,41,39,None,Arrow,,,,,,,,,,,,
130,Line,,2,,,41,42,None,Arrow,,,,,,,,,,,,
131,Line,,2,,,42,40,None,Arrow,,Physical unloading finished,,,,,,,,,,
132,Line,,2,,,39,43,None,Arrow,,,,,,,,,,,,
133,Line,,2,,,43,44,None,Arrow,,,,,,,,,,,,
134,Line,,2,,,44,45,None,Arrow,,,,,,,,,,,,
135,Line,,2,,,45,46,None,Arrow,,,,,,,,,,,,
136,Line,,2,,,46,55,None,Arrow,,Miniloadable,,,,,,,,,,
137,Line,,2,,,51,50,None,Arrow,,,,,,,,,,,,
138,Line,,2,,,53,54,None,Arrow,,,,,,,,,,,,
139,Line,,2,,,52,53,None,Arrow,,,,,,,,,,,,
140,Line,,2,,,54,57,None,Arrow,,,,,,,,,,,,
141,Line,,2,,,46,56,None,Arrow,,Not miniloadable,,,,,,,,,,
142,Line,,2,,,62,63,None,Arrow,,,,,,,,,,,,
143,Line,,2,,,65,64,None,Arrow,,,,,,,,,,,,
144,Line,,2,,,66,65,None,Arrow,,Pallet completed,,,,,,,,,,
